Risk ID,Risk Description,Risk Category,Risk Level,Compliance Area,Control Effectiveness,Incident Count,Incident Date,Mitigation Status
RISK-062,Risk description 62,Financial,High,ISO 27001,Effective,10,2024-02-13,Not Started
RISK-063,Risk description 63,Financial,Low,PCI DSS,Ineffective,12,2024-08-08,Completed
RISK-064,Risk description 64,Cybersecurity,Medium,PCI DSS,Effective,9,2024-04-13,Not Started
RISK-065,Risk description 65,Cybersecurity,High,GDPR,Partially Effective,17,2024-05-23,In Progress
RISK-066,Risk description 66,Compliance,High,PCI DSS,Ineffective,4,2024-07-21,Completed
RISK-067,Risk description 67,Financial,Medium,PCI DSS,Ineffective,6,2024-06-18,In Progress
RISK-068,Risk description 68,Compliance,Low,NIST CSF,Effective,13,2024-01-29,Completed
RISK-069,Risk description 69,Operational,High,ISO 27001,Partially Effective,12,2023-09-15,In Progress
RISK-070,Risk description 70,Financial,High,PCI DSS,Effective,5,2024-01-19,Not Started
RISK-071,Risk description 71,Operational,High,PCI DSS,Effective,19,2024-06-13,Completed
RISK-072,Risk description 72,Compliance,Low,ISO 27001,Partially Effective,18,2024-07-20,Completed
RISK-073,Risk description 73,Cybersecurity,High,PCI DSS,Partially Effective,9,2024-08-25,In Progress
RISK-074,Risk description 74,Compliance,Medium,PCI DSS,Effective,12,2024-02-12,Not Started
RISK-075,Risk description 75,Operational,Medium,ISO 27001,Partially Effective,17,2024-06-11,In Progress
RISK-076,Risk description 76,Financial,High,NIST CSF,Effective,0,2024-03-30,In Progress
RISK-077,Risk description 77,Compliance,High,PCI DSS,Ineffective,9,2024-04-20,Not Started
RISK-078,Risk description 78,Financial,Medium,ISO 27001,Effective,9,2023-12-02,In Progress
RISK-079,Risk description 79,Cybersecurity,Medium,PCI DSS,Ineffective,6,2023-12-01,In Progress
RISK-080,Risk description 80,Cybersecurity,High,PCI DSS,Effective,13,2024-02-18,Completed
RISK-081,Risk description 81,Cybersecurity,Medium,NIST CSF,Partially Effective,18,2023-09-23,In Progress
RISK-082,Risk description 82,Financial,Low,GDPR,Ineffective,19,2024-01-13,Completed
RISK-083,Risk description 83,Compliance,Low,GDPR,Partially Effective,20,2024-05-17,Not Started
RISK-084,Risk description 84,Financial,Low,ISO 27001,Ineffective,10,2024-02-07,In Progress
RISK-085,Risk description 85,Financial,Low,GDPR,Ineffective,14,2023-11-12,Not Started
RISK-086,Risk description 86,Compliance,Medium,ISO 27001,Effective,14,2024-03-01,Completed
RISK-087,Risk description 87,Cybersecurity,Low,GDPR,Effective,14,2023-10-29,Completed
RISK-088,Risk description 88,Cybersecurity,High,NIST CSF,Effective,6,2024-04-26,Completed
RISK-089,Risk description 89,Compliance,High,ISO 27001,Effective,16,2023-09-22,In Progress
RISK-090,Risk description 90,Financial,Low,GDPR,Partially Effective,15,2024-02-03,Completed
RISK-091,Risk description 91,Financial,High,NIST CSF,Effective,5,2024-04-05,Completed
RISK-092,Risk description 92,Cybersecurity,Low,GDPR,Effective,2,2023-09-22,In Progress
RISK-093,Risk description 93,Operational,Low,PCI DSS,Ineffective,9,2024-05-04,In Progress
RISK-094,Risk description 94,Operational,Low,PCI DSS,Partially Effective,16,2023-11-01,In Progress
RISK-095,Risk description 95,Operational,High,NIST CSF,Partially Effective,20,2024-02-28,Completed
RISK-096,Risk description 96,Financial,High,PCI DSS,Ineffective,19,2023-10-01,Completed
RISK-097,Risk description 97,Financial,Low,PCI DSS,Ineffective,10,2024-01-29,In Progress
RISK-098,Risk description 98,Cybersecurity,Low,ISO 27001,Effective,2,2023-11-29,In Progress
RISK-099,Risk description 99,Operational,Low,GDPR,Partially Effective,7,2024-01-10,Not Started
RISK-100,Risk description 100,Cybersecurity,Low,ISO 27001,Effective,9,2024-06-16,Not Started
